size	loc
01	57
02	86
03	126
04	176
05	245
06	338
07	453
08	598
09	802
10	1056
11	1281
12	1607
13	2017
14	2415
15	3072
16	3465
17	4088
18	4990
19	5531
20	6502
21	7582
22	8492
23	10098
24	10967
25	12497
26	14165
27	15247
28	17939
29	19216
30	20537
31	23827
32	25363
33	29124
34	30891
35	32707
36	37167
37	39235
38	41357
39	46578
40	48973
41	51427
42	57469
43	60214
44	63021
45	69941
46	73059
47	76243
48	84103
49	87620
50	91207
51	100069
52	104009
53	108022
54	117943
55	122327
56	126789
57	137829
58	142683
59	147620
60	159841
61	165191
