size	loc
01	388
02	505
03	635
04	755
05	934
06	1084
07	1277
08	1475
09	2097
10	2190
11	3005
12	2755
13	3367
14	4795
15	4481
16	5424
17	6852
18	6638
19	8613
20	22801
21	9765
22	9844
23	12381
24	20700
25	14794
26	23207
27	16914
28	19302
29	39138
30	24624
31	26445
32	51692
33	30716
34	35979
35	57558
36	41619
37	39574
38	43815
39	82527
40	51127
41	87090
42	56540
43	61428
44	96462
45	76253
46	76965
47	109748
48	88486
49	96406
50	341171
51	110755
52	100783
53	117826
54	214328
55	124691
56	212144
57	135371
58	143243
59	315050
60	175427
61	170486
