size	extr	build	hdl	synth	total
01	0	14	2	0	25
02	1	13	2	1	26
03	0	13	3	1	25
04	1	13	3	1	26
05	1	13	4	1	28
06	1	13	3	3	28
07	1	14	4	4	31
08	1	14	6	5	34
09	1	14	8	7	38
10	3	14	9	10	44
11	3	15	11	13	51
12	3	16	14	17	59
13	5	16	18	20	68
14	7	17	22	26	81
15	8	19	27	32	95
16	10	19	34	39	111
17	13	21	57	46	147
18	16	24	48	56	154
19	20	25	58	65	178
20	24	28	69	77	209
21	29	31	83	89	243
22	35	34	98	104	282
23	42	37	113	119	322
24	49	42	134	135	371
25	59	46	150	153	420
26	67	53	178	176	486
27	79	58	202	199	550
28	91	65	238	224	632
29	105	72	266	249	705
30	120	81	304	274	794
31	136	96	338	310	895
32	156	105	381	350	1008
33	177	119	427	378	1118
34	200	131	475	422	1245
35	223	151	531	462	1385
36	248	167	599	497	1530
37	278	188	666	547	1698
38	311	203	734	595	1863
39	348	244	824	646	2083
40	386	277	899	716	2300
41	425	302	997	774	2521
42	466	320	1110	825	2745
43	514	362	1219	895	3016
44	562	428	1608	1069	3694
45	618	465	1449	1019	3578
46	673	526	1606	1100	3934
47	745	649	1866	1202	4494
48	806	646	1992	1319	4797
49	882	648	2104	1366	5035
50	934	774	2303	1469	5516
51	1016	798	2484	1582	5918
52	1102	985	2688	1681	6495
53	1190	1121	2916	1803	7071
54	1279	1258	3174	1893	7647
55	1410	1413	3529	2045	8443
56	1526	1511	3881	2327	9292
57	1633	1506	4025	2261	9474
58	1715	1602	4337	2371	10076
59	1851	1867	4760	2478	11009
60	1976	1778	5083	2637	11529
61	2108	1901	5422	2775	12264
