size	mem
01	53.18
02	54.86
03	57.00
04	60.34
05	64.13
06	55.75
07	89.63
08	117.71
09	145.75
10	194.33
11	236.22
12	293.95
13	362.43
14	437.44
15	525.14
16	616.61
17	741.25
18	861.52
19	988.18
20	1173.98
21	1295.55
22	1501.26
23	1693.12
24	1900.40
25	2143.23
26	2391.14
27	2638.14
28	2920.04
29	3249.44
30	3593.07
31	3960.17
32	4347.09
33	4713.57
34	5133.05
35	5589.66
36	6110.20
37	6546.22
38	7103.09
39	7738.71
40	8310.68
41	8863.53
42	9568.23
43	10186.79
44	10841.97
45	11606.67
46	12443.61
47	13154.81
48	13980.54
49	14980.71
50	15862.19
51	16788.66
52	17680.02
53	18824.29
54	19779.11
55	20948.35
56	22026.82
57	23254.21
58	24461.64
59	25806.03
60	27495.24
61	28835.27
